date,open,high,low,close,volume,Name,timestamp
2017-10-19,36.8,37.53,36.68,37.43,4632142,CFG,2026-04-07T19:40:19.515-06:00
2017-10-20,38.35,38.7,37.74,38.33,6990167,CFG,2026-04-07T19:40:19.515-06:00
2017-10-23,38.51,38.82,38.355,38.5,8428438,CFG,2026-04-07T19:40:19.515-06:00
2017-10-24,38.61,38.94,38.3,38.37,6311983,CFG,2026-04-07T19:40:19.515-06:00
2017-10-25,38.4,38.54,37.675,38.025,4945011,CFG,2026-04-07T19:40:19.515-06:00
2017-10-26,38.3,38.99,38.19,38.51,4599947,CFG,2026-04-07T19:40:19.515-06:00
2017-10-27,38.37,38.54,38.22,38.45,2464713,CFG,2026-04-07T19:40:19.515-06:00
2017-10-30,38.25,38.4,37.8925,38.08,3720641,CFG,2026-04-07T19:40:19.515-06:00
2017-10-31,37.97,38.345,37.91,38.01,3200490,CFG,2026-04-07T19:40:19.515-06:00
2017-11-01,38.21,38.98,38.12,38.37,5282576,CFG,2026-04-07T19:40:19.515-06:00
2017-11-02,38.26,38.875,37.9,38.74,3353110,CFG,2026-04-07T19:40:19.515-06:00
2017-11-03,38.68,39.1,38.53,38.82,2949547,CFG,2026-04-07T19:40:19.515-06:00
2017-11-06,38.69,38.9,38.48,38.72,2233709,CFG,2026-04-07T19:40:19.515-06:00
2017-11-07,38.8,38.99,37.55,37.67,4868907,CFG,2026-04-07T19:40:19.515-06:00
2017-11-08,37.45,37.57,36.98,37.31,5045840,CFG,2026-04-07T19:40:19.515-06:00
2017-11-09,36.97,37.32,36.46,36.81,4764533,CFG,2026-04-07T19:40:19.515-06:00
2017-11-10,36.85,37.0816,36.62,36.68,3615029,CFG,2026-04-07T19:40:19.515-06:00
2017-11-13,36.47,37.28,36.25,37.2,4720110,CFG,2026-04-07T19:40:19.515-06:00
2017-11-14,37.02,38.14,36.92,38.07,4903511,CFG,2026-04-07T19:40:19.515-06:00
2017-11-15,37.68,38.35,37.4,38.14,4190970,CFG,2026-04-07T19:40:19.515-06:00
2017-11-16,38.5,38.74,37.91,37.92,3584283,CFG,2026-04-07T19:40:19.515-06:00
2017-11-17,37.65,38.37,37.57,38.17,2096797,CFG,2026-04-07T19:40:19.515-06:00
2017-11-20,38.31,38.49,38.1,38.25,4023706,CFG,2026-04-07T19:40:19.515-06:00
2017-11-21,38.37,38.37,37.79,37.9,4695566,CFG,2026-04-07T19:40:19.515-06:00
2017-11-22,38.0,38.245,37.8,37.83,2848310,CFG,2026-04-07T19:40:19.515-06:00
2017-11-24,38.02,38.09,37.615,37.75,807183,CFG,2026-04-07T19:40:19.515-06:00
2017-11-27,37.74,37.87,37.465,37.63,2299751,CFG,2026-04-07T19:40:19.515-06:00
2017-11-28,37.75,38.84,37.715,38.78,5322117,CFG,2026-04-07T19:40:19.515-06:00
2017-11-29,39.25,41.08,39.11,40.67,8737030,CFG,2026-04-07T19:40:19.515-06:00
2017-11-30,41.08,41.77,40.66,40.7,13191012,CFG,2026-04-07T19:40:19.515-06:00
2017-12-01,40.9,41.19,39.42,40.69,6694642,CFG,2026-04-07T19:40:19.515-06:00
2017-12-04,41.49,42.52,41.32,41.85,6494481,CFG,2026-04-07T19:40:19.515-06:00
2017-12-05,41.83,42.09,40.74,40.89,6205616,CFG,2026-04-07T19:40:19.515-06:00
2017-12-06,40.67,40.91,40.24,40.63,4265187,CFG,2026-04-07T19:40:19.515-06:00
2017-12-07,40.41,41.44,40.27,41.43,4692245,CFG,2026-04-07T19:40:19.515-06:00
2017-12-08,41.64,41.8,41.18,41.74,3200238,CFG,2026-04-07T19:40:19.515-06:00
2017-12-11,41.7,41.92,41.16,41.42,3258264,CFG,2026-04-07T19:40:19.515-06:00
2017-12-12,41.66,42.205,41.42,41.92,4219265,CFG,2026-04-07T19:40:19.515-06:00
