date,open,high,low,close,volume,Name,timestamp
2017-08-21,63.6,64.5746,63.34,64.39,5065739,MO,2026-04-07T19:40:19.515-06:00
2017-08-21,64.82,65.685,64.385,65.53,532110,REG,2026-04-07T19:40:19.515-06:00
2017-08-21,69.24,69.52,69.06,69.35,868545,PCG,2026-04-07T19:40:19.515-06:00
2017-08-21,69.62,69.98,68.52,69.33,828061,QRVO,2026-04-07T19:40:19.515-06:00
2017-08-21,72.47,72.48,71.7,72.15,17734767,MSFT,2026-04-07T19:40:19.515-06:00
2017-08-21,73.06,73.53,72.74,73.44,310806,RMD,2026-04-07T19:40:19.515-06:00
2017-08-21,74.9,75.44,74.665,75.29,942456,NDAQ,2026-04-07T19:40:19.515-06:00
2017-08-21,76.9,77.33,76.66,76.91,1533809,OMC,2026-04-07T19:40:19.515-06:00
2017-08-21,77.19,78.16,76.7,77.58,1111307,PRGO,2026-04-07T19:40:19.515-06:00
2017-08-21,77.31,77.545,76.98,77.46,1172445,MMC,2026-04-07T19:40:19.515-06:00
2017-08-21,77.9,77.99,77.32,77.72,469416,RJF,2026-04-07T19:40:19.515-06:00
2017-08-21,81.41,82.04,81.14,81.9,1686896,PSX,2026-04-07T19:40:19.515-06:00
2017-08-21,83.33,84.015,82.94,83.52,4691489,MDT,2026-04-07T19:40:19.515-06:00
2017-08-21,84.6,85.61,84.14,84.9,957713,RL,2026-04-07T19:40:19.515-06:00
2017-08-21,86.71,87.64,85.68,87.2,1406849,MSI,2026-04-07T19:40:19.515-06:00
2017-08-21,87.9,88.14,87.41,87.87,729805,NTRS,2026-04-07T19:40:19.515-06:00
2017-08-21,89.43,89.57,88.63,89.2,1105078,PNW,2026-04-07T19:40:19.515-06:00
2017-08-21,92.38,92.96,92.36,92.86,4334337,PG,2026-04-07T19:40:19.515-06:00
2017-08-21,96.38,96.5,95.7,96.23,956905,MKC,2026-04-07T19:40:19.515-06:00
2017-08-21,100.84,103.49,100.44,102.65,2513620,RHT,2026-04-07T19:40:19.515-06:00
2017-08-21,102.1,102.53,101.72,102.39,1351627,PPG,2026-04-07T19:40:19.515-06:00
2017-08-21,102.25,102.27,100.54,101.08,1680247,PRU,2026-04-07T19:40:19.515-06:00
2017-08-21,109.78,109.78,106.49,106.51,999823,PKG,2026-04-07T19:40:19.515-06:00
2017-08-21,115.29,116.49,115.08,116.25,2442349,PM,2026-04-07T19:40:19.515-06:00
2017-08-21,116.82,117.05,116.49,116.85,1432169,MON,2026-04-07T19:40:19.515-06:00
