date,open,high,low,close,volume,Name,timestamp
2017-08-30,42.63,43.495,42.42,43.41,6846918,COP,2026-04-07T19:40:19.515-06:00
2017-08-30,46.46,47.0,46.1,46.83,5960151,DAL,2026-04-07T19:40:19.515-06:00
2017-08-30,48.67,48.765,48.51,48.57,884731,CMS,2026-04-07T19:40:19.515-06:00
2017-08-30,49.69,50.66,49.5,50.41,6197489,CSX,2026-04-07T19:40:19.515-06:00
2017-08-30,50.74,51.0,50.18,50.25,4388555,CPB,2026-04-07T19:40:19.515-06:00
2017-08-30,51.0,51.65,50.57,51.52,1536913,EVHC,2026-04-07T19:40:19.515-06:00
2017-08-30,55.96,56.37,55.7,56.12,984160,EXPD,2026-04-07T19:40:19.515-06:00
2017-08-30,57.06,57.595,56.8,57.52,1069909,DVA,2026-04-07T19:40:19.515-06:00
2017-08-30,57.56,57.9,57.05,57.2,1586876,DISH,2026-04-07T19:40:19.515-06:00
2017-08-30,58.36,58.68,58.31,58.63,1890906,EMR,2026-04-07T19:40:19.515-06:00
2017-08-30,58.49,59.26,58.44,58.97,1775314,DFS,2026-04-07T19:40:19.515-06:00
2017-08-30,60.75,61.95,60.38,61.78,1399550,EQT,2026-04-07T19:40:19.515-06:00
2017-08-30,61.09,61.56,60.91,61.53,1957415,ESRX,2026-04-07T19:40:19.515-06:00
2017-08-30,62.07,62.19,61.84,62.01,846336,FBHS,2026-04-07T19:40:19.515-06:00
2017-08-30,63.33,63.44,63.0,63.24,883110,ES,2026-04-07T19:40:19.515-06:00
2017-08-30,64.42,64.94,64.35,64.8,1586256,FTV,2026-04-07T19:40:19.515-06:00
2017-08-30,67.07,67.31,66.525,67.31,1323675,EQR,2026-04-07T19:40:19.515-06:00
2017-08-30,67.7,68.39,67.69,68.01,9152007,C,2026-04-07T19:40:19.515-06:00
2017-08-30,68.73,69.18,68.54,68.65,1790849,CMA,2026-04-07T19:40:19.515-06:00
2017-08-30,69.58,69.88,69.37,69.67,1943424,CTSH,2026-04-07T19:40:19.515-06:00
2017-08-30,70.5,71.16,70.49,71.05,2561602,ETN,2026-04-07T19:40:19.515-06:00
2017-08-30,75.82,81.44,75.74,81.23,35927090,GILD,2026-04-07T19:40:19.515-06:00
2017-08-30,76.09,76.66,75.98,76.38,3607038,CVS,2026-04-07T19:40:19.515-06:00
2017-08-30,76.42,77.55,76.255,76.99,1375841,CTXS,2026-04-07T19:40:19.515-06:00
2017-08-30,76.71,76.98,75.91,76.73,4236879,DG,2026-04-07T19:40:19.515-06:00
2017-08-30,77.69,78.02,76.36,77.59,807869,EXR,2026-04-07T19:40:19.515-06:00
2017-08-30,79.45,79.5792,78.73,78.82,1726965,D,2026-04-07T19:40:19.515-06:00
